time,des_joint2_to_joint1,des_joint3_to_joint2,des_joint4_to_joint3,des_joint5_to_joint4,des_joint6_to_joint5,des_joint6output_to_joint6,act_joint2_to_joint1,act_joint3_to_joint2,act_joint4_to_joint3,act_joint5_to_joint4,act_joint6_to_joint5,act_joint6output_to_joint6
1.900000,0.515643,0.822285,-0.893358,0.684357,-0.222285,0.093358,0.543423,0.844796,-0.898626,0.656577,-0.244796,0.098626
1.950000,0.507846,0.817587,-0.890259,0.692154,-0.217587,0.090259,0.536309,0.838523,-0.897786,0.663691,-0.238523,0.097786
2.000000,0.500000,0.813397,-0.886603,0.700000,-0.213397,0.086603,0.528989,0.832642,-0.896347,0.671011,-0.232642,0.096347
2.050000,0.492154,0.809741,-0.882413,0.707846,-0.209741,0.082413,0.521474,0.827166,-0.894308,0.678526,-0.227166,0.094308
2.100000,0.484357,0.806642,-0.877715,0.715643,-0.206642,0.077715,0.513843,0.822149,-0.891695,0.686157,-0.222149,0.091695
2.150000,0.476655,0.804118,-0.872537,0.723345,-0.204118,0.072537,0.506143,0.817618,-0.888525,0.693857,-0.217618,0.088525
2.200000,0.469098,0.802185,-0.866913,0.730902,-0.202185,0.066913,0.498365,0.813578,-0.884787,0.701635,-0.213578,0.084787
2.250000,0.461732,0.800856,-0.860876,0.738268,-0.200856,0.060876,0.490604,0.810074,-0.880530,0.709396,-0.210074,0.080530
2.300000,0.454601,0.800137,-0.854464,0.745399,-0.200137,0.054464,0.482778,0.807083,-0.875696,0.717222,-0.207083,0.075696
2.350000,0.447750,0.800034,-0.847716,0.752250,-0.200034,0.047716,0.475331,0.804757,-0.870574,0.724669,-0.204757,0.070574
2.400000,0.441221,0.800548,-0.840674,0.758779,-0.200548,0.040674,0.467887,0.802970,-0.864917,0.732113,-0.202970,0.064917
2.450000,0.435055,0.801675,-0.833381,0.764945,-0.201675,0.033381,0.460681,0.801784,-0.858898,0.739319,-0.201784,0.058898
2.500000,0.429289,0.803407,-0.825882,0.770711,-0.203407,0.025882,0.453691,0.801201,-0.852490,0.746309,-0.201201,0.052490
2.550000,0.423959,0.805736,-0.818224,0.776041,-0.205736,0.018224,0.446988,0.801225,-0.845763,0.753012,-0.201225,0.045763
2.600000,0.419098,0.808645,-0.810453,0.780902,-0.208645,0.010453,0.440494,0.801877,-0.838617,0.759506,-0.201877,0.038617
2.650000,0.414736,0.812118,-0.802618,0.785264,-0.212118,0.002618,0.434577,0.803102,-0.831475,0.765423,-0.203102,0.031475
2.700000,0.410899,0.816133,-0.794766,0.789101,-0.216133,-0.005234,0.428625,0.805071,-0.823554,0.771375,-0.205071,0.023554
2.750000,0.407612,0.820665,-0.786947,0.792388,-0.220665,-0.013053,0.423808,0.807345,-0.816463,0.776192,-0.207345,0.016463
2.800000,0.404894,0.825686,-0.779209,0.795106,-0.225686,-0.020791,0.419098,0.810341,-0.808758,0.780902,-0.210341,0.008758
2.850000,0.402763,0.831165,-0.771598,0.797237,-0.231165,-0.028402,0.414799,0.813981,-0.800818,0.785201,-0.213981,0.000818
2.900000,0.401231,0.837068,-0.764163,0.798769,-0.237068,-0.035837,0.411134,0.818058,-0.793076,0.788866,-0.218058,-0.006924
2.950000,0.400308,0.843359,-0.756949,0.799692,-0.243359,-0.043051,0.408057,0.822568,-0.785489,0.791943,-0.222568,-0.014511
3.000000,0.400000,0.850000,-0.750000,0.800000,-0.250000,-0.050000,0.405495,0.827608,-0.777886,0.794505,-0.227608,-0.022114
3.050000,0.400308,0.856949,-0.743359,0.799692,-0.256949,-0.056641,0.403477,0.833241,-0.770236,0.796523,-0.233241,-0.029764
3.100000,0.401231,0.864163,-0.737068,0.798769,-0.264163,-0.062932,0.402116,0.839056,-0.763060,0.797884,-0.239056,-0.036940
3.150000,0.402763,0.871598,-0.731165,0.797237,-0.271598,-0.068835,0.401331,0.845365,-0.755966,0.798669,-0.245365,-0.044034
